Quote;Author;FR;FR;ITA;ITA;SPA;SPA;GER;GER;POL;POL;POR;POR;RUS;RUS
'We learn from history that we learn nothing from history.';George Bernard Shaw;'L'Histoire nous apprend que nous n'apprenons jamais de l'Histoire.';George Bernard Shaw;'La storia ci insegna che non abbiamo mai imparato niente dalla storia.';George Bernard Shaw;'Hemos aprendido de la historia, que no hemos aprendido nada de la historia.';George Bernard Shaw;Wir lernen aus der Geschichte, dass wir nichts aus der Geschichte lernen.';George Bernard Shaw;'Historia uczy nas, їe historia niczego nas nie uczy.';George Bernard Shaw;;;'Единственный урок, который можно извлечь из истории в том, что никто не извлекает из нее уроков.';Джордж Бернард Шоу
'Those who cannot learn from history are doomed to repeat it.';George Santayana;'Ceux qui n'apprennent pas de l'Histoire sont condamnйs а la rйpйter.';George Santayana;'Coloro che non riescono a imparare dalla storia sono destinati a ripeterla.';George Santayana;'Aquellos que no puedan aprender de la historia, estбn condenados a repetirla.';George Santayana;Jene, die nichts aus der Geschichte lernen, sind dazu verdammt sie zu wiederholen.';George Santayana;'Ci ktуrzy nie potrafi№ uczyж siк na historii, s№ skazani na jej powtarzanie.';George Santayana;;;'Те, кто не учится на ошибках истории, обречены повторить их.';Джордж Сантаяна
'History repeats itself, first as tragedy, second as farce.';Karl Marx;'L'Histoire se rйpиte, d'abord comme une tragйdie, puis comme une farce.';Karl Marx;'La storia si ripete sempre, la prima volta и una tragedia, la seconda и una farsa.';Karl Marx;'La historia se repite constantemente, primero como tragedia, despuйs como farsa.';Karl Marx;'Geschichte wiederholt sich selbst, erst als Tragцdie, dann als Farce';Karl Marx;'Historia powtarza siк, najpierw jako tragedia, nastкpnie jako farsa.';Karol Marks;;;'История циклична: сначала трагедия, потом фарс.';Карл Маркс
'History will be kind to me for I intend to write it.';Sir Winston Churchill;'L'histoire me sera indulgente car j'ai l'intention de l'йcrire.';Sir Winston Churchill;'La storia sarа generosa con me perchй io ho intenzione di scriverla.';Sir Winston Churchill;'La historia serб amable conmigo, porque yo mismo la intento escribir.';Sir Winston Churchill;'Die Geschichte wird gut zu mir sein, ich habe vor sie selbst zu schreiben.';Sir Winston Churchill;'Historia bкdzie dla mnie іaskawa, poniewaї ja j№ zamierzam napisaж.';Sir Winston Churchill;;;'История будет добра ко мне, так что я намереваюсь записать ее.';Уинстон Черчилль
'A hero is no braver than an ordinary man, but he is brave five minutes longer.';Ralph Waldo Emerson;'Un hйros n'est pas plus courageux qu'un homme ordinaire. Mais il l'est quelques minutes de plus.';Ralph Waldo Emerson;'Un eroe non и piщ coraggioso di un uomo ordinario, ma и coraggioso per cinque minuti piщ a lungo.';Ralph Waldo Emerson;'Un hйroe no es mas valiente que un obrero, pero el sigue siendo valiente cinco minutos mas tarde.';Ralph Waldo Emerson;Ein Held ist nicht tapferer als ein normaler Mann, er ist nur einige Minuten lang tapferer als der Rest.';Ralph Waldo Emerson;'Bohater nie jest bardziej odwaїny od zwykіego czіowieka, ale jest odwaїny piкж minut dіuїej.';Ralph Waldo Emerson;;;'Герой не храбрее обычного человека, он только храбрее его на пять минут.';Ральф Уолдо Эмерсон
'Our greatest glory is not in never failing, but in rising up every time we fail.';Ralph Waldo Emerson;'Notre plus grande gloire n'est pas de ne jamais tomber mais de toujours se relever.';Ralph Waldo Emerson;'La nostra piщ grande gloria non и non cadere mai, ma rialzarci sempre ogni volta che falliamo.';Ralph Waldo Emerson;'La grandeza de nuestra gloria no se encuentra en que nunca caemos, si no que cuando caemos siempre nos levantamos.';Ralph Waldo Emerson;'Unser grцsster Ruhm ist nicht, dass wir niemals scheitern, sondern dass wir uns jedes mal neu erheben wenn wir fallen.';Ralph Waldo Emerson;'Nasza najwiкksza chwaіa nie leїy w tym, їe nigdy nie upadliњmy, ale їe za kaїdym razem gdy upadniemy, potrafimy powstaж.';Ralph Waldo Emerson;;;'Наша величайшая слава не в том, что мы никогда не падаем, а в том, что мы поднимаемся после падения.';Ральф Уолдо Эмерсон
'All wars are civil wars, because all men are brothers.';Francois Fenelon;'Toutes les guerres sont des guerres civiles car c'est toujours l'homme contre l'homme qui verse son propre sang.';Franзois Fйnйlon;'Tutte le guerre sono guerre civile perchй tutti gli uomini sono fratelli.';Francois Fenelon;'Todas las guerras son guerras civiles, porque todos los hombres son hermanos.';Francois Fenelon;'Alle Kriege sind Bьrgerkriege, denn alle Menschen sind Brьder.';Francois Fenelon;'Wszystkie wojny to wojny domowe, bo wszyscy ludzie s№ braжmi.';Francois Fenelon;;;'Все войны - гражданские, так как все люди - братья.';Франсуа Фенелон
'Never think that war, no matter how necessary, nor how justified, is not a crime.';Ernest Hemingway;'La guerre, aussi nйcessaire ou justifiйe qu'elle soit, n'en demeure pas moins un crime.';Ernest Hemingway;'Non pensare mai che la guerra, per quanto necessario e per quanto giustificata possa essere, non sia un crimine.';Ernest Hemingway;'No pensemos nunca que la guerra, por muy justificada o necesaria que esta sea, no dejara de ser un crimen.';Ernest Hemingway;'Denke niemals, dass Krieg, egal wie nцtig oder gerecht, kein Verbrechen ist.';Ernest Hemingway;'Nigdy nie myњl їe wojna, niewaїne jak potrzebna lub jak uzasadniona, nie jest zbrodni№.';Ernest Hemingway;;;'Никогда не думать о войне не является преступлением.';Эрнест Хэммингуэй
'There's no honorable way to kill, no gentle way to destroy. There is nothing good in war. Except its ending.';Abraham Lincoln;'Il n'y a pas de maniиre honorable de tuer, pas de destruction qui soit douce. Il n'y a rien de bon dans la guerre, si ce n'est sa fin.';Abraham Lincoln;'Non esiste un modo onorevole per uccidere, un modo gentile per distruggere. Non c'и niente di buono nella guerra. Eccetto la sua fine.';Abraham Lincoln;'No hay manera honorable de matar, no hay forma caballerosa de destruir. No hay nada bueno en las guerras. Excepto su final.';Abraham Lincoln;Es gibt keinen ehrenhaften Weg zu tцten, keinen sanften Weg etwas zu zerstцren. Es gibt nicht gutes im Krieg, ausser seinem Ende.';Abraham Lincoln;'Nie ma chwalebnego sposobu zabijania, ani delikatnego sposobu burzenia. W wojnie nie ma nic dobrego. Poza jej koсcem.';Abraham Lincoln;;;'Нет ничего благородного в убийстве, интеллигентного в разрушении. Нет ничего хорошего в войне, за исключением ее конца.';Абрахам Линкольн
'The object of war is not to die for your country but to make the other bastard die for his.';George S. Patton;'L'objet dґune guerre n'est pas de mourir pour son pays mais de faire en sorte que le connard d'en face meure pour le sien.';George S. Patton;'L'obiettivo di una guerra non и di morire per il proprio paese, ma fare in modo che l'altro bastardo muoia per il suo.';George S. Patton;'El objetivo de la guerra no es que tu mueras por tu paнs, si no que hagas que el otro bastardo muera por el suyo.';George S. Patton;Das Ziel des Krieges ist es nicht, fьr das eigene Land zu sterben, sondern den anderen Bastard fьr seines sterben zu lassen.';George S. Patton;'Celem wojny nie jest umrzeж za swуj kraj, ale sprawienie, by ten drugi skurwiel zgin№і za swуj.';George S. Patton;;;'Цель войны - не умереть за свою страну самому, а заставить врагов умереть за свою.';Джордж Паттон
'When you get to the end of your rope, tie a knot and hang on.';Franklin D. Roosevelt;'Quand vous arrivez au bout de votre corde, faites-y un noeud et pendez-vous.';Franklin D. Roosevelt;'Quando arrivi alla fine della fune, fai un modo e tieni duro.';Franklin D. Roosevelt;'Cuando llegues al final de la cuerda, ata un nudo y aguanta.';Franklin D. Roosevelt;Wenn du am Ende eines Seils angekommen bist, mach einen Knoten rein und halt daran fest.';Franklin D. Roosevelt;'Kiedy dostajesz koniec liny, zawi№ї supeі i uwieњ siк.';Franklin D. Roosevelt;;;'Когда вы доберетесь до конца веревки, свяжите узел и держитесь.';Франклин Делано Рузвельт
'War does not determine who is right - only who is left.';Bertrand Russell;'La guerre ne permet pas de savoir qui a raison, mais uniquement qui survit.';Bertrand Russell;'La guerra non determina chi ha ragione, ma solo chi и rimasto.';Bertrand Russell;'La guerra no determina lo que esta bien - solo lo que permanece.';Bertrand Russell;Krieg entscheidet nicht wer im Recht ist sondern nur, wer am Ende ьberigbleibt.';Bertrand Russell;'Wojna nie decyduje kto ma racjк, tylko kto ma їyж.';Bertrand Russell;;;'Война не определяет, кто прав, она определяет только, кто виноват.';Бертран Рассел
'The death of one man is a tragedy. The death of millions is a statistic.';Kurt Tucholsky;'La mort d'un homme est une tragйdie. Celle d'un million est une statistique.';Kurt Tucholsky;'La morte di un uomo и una tragedia. La morte di un milione и una statistica.';Kurt Tucholsky;'La muerte de un hombre es una tragedia, la muerte de millones pura estadнstica.';Kurt Tucholsky;'Der Tod eines Mannes ist eine Tragцdie. Der Tod von Millionen eine Statistik.';Kurt Tucholsky;'Њmierж jednego czіowieka to tragedia. Њmierж milionуw to statystyka.';Kurt Tucholsky;;;'Смерть одного человека - трагедия. Смерть миллиона - статистика.';Иосиф Сталин
'Death solves all problems - no man, no problem.';Anatoly Rybakov;'La mort rйsout tous les problиmes - pas d'homme, pas de problиme.';Anatoly Rybakov;'La morte risolve tutti i problemi - nessun uomo, nessun problema.';Anatoly Rybakov;'La muerte soluciona todos los problemas - no hay hombres, no hay problemas.';Joseph Stalin;Der Tod lцst alle Probleme: kein Mann, keine Probleme.';Anatoly Rybakov;'Њmierж zaіatwia wszystkie problemy - nie ma czіowieka, nie ma kіopotu.';Anatoly Rybakov;;;'Нет человека - нет проблемы.';Иосиф Сталин
'If the opposition disarms, well and good. If it refuses to disarm, we shall disarm it ourselves.';Joseph Stalin;'Si l'opposition dйsarme, trиs bien. Si elle le refuse, nous la dйsarmerons nous-mкmes.';Josef Stalin;'Se l'opposizione abbandona le armi, bene. Se rifiuta di deporre le armi, gliele faremo abbandonare noi.';Joseph Stalin;'Si la oposiciуn deja las armas, muy bien. Pero si se niegan, lo haremos nosotros mismos.';Joseph Stalin;'Wenn die Gegenseite die Waffen niederlegt um so besser. Wenn sie sich weigert die Waffen niederzulegen, werden wir sie ihnen selbst abnehmen.';Joseph Stalin;'Jeњli przeciwnik siк rozbraja, to dobrze. Jeњli nie chce tego zrobiж, to my go rozbroimy za niego.';Jуzef Stalin;;;'Если противник разоружится сам - хорошо. Если нет - мы ему поможем.';Иосиф Сталин
'We happy few, we band of brothers. For he today that sheds his blood with me shall be my brother.';William Shakespeare;'Nous cette poignйe, nous ces frиres d'armes. Car celui qui verse son sang а mes cфtйs aujourd'hui sera mon frиre.';William Shakespeare;'Noi felici, pochi. Noi manipolo di fratelli: poichй chi oggi verserа il suo sangue con me sarа mio fratello.';William Shakespeare;'Hoy estamos un poco felices, nosotros hermanos de sangre. Porque hoy quien derrame su sangre conmigo se convertirб en mi hermano.';William Shakespeare;Uns wenige, uns beglьcktes Hдuflein Brьder. Denn welcher heut sein Blut mit mir vergieЯt, der wird mein Bruder, sei er noch so niedrig.';William Shakespeare;'Szczкњliwych nas kilku, kompania braci. Bo kto dziњ przelewa sw№ krew ze mn№, bкdzie moim bratem.';William Szekspir;;;'Нас горсточка счастливцев, братьев. Тот, кто сегодня кровь со мной прольет, мне станет братом...';Уильям Шекспир
'Ours is a world of nuclear giants and ethical infants. We know more about war than we know about peace, more;about killing than we know about living.' Omar Bradley;'Nous vivons а une epoque de gйants nuclйaires immatures du point de vue de l'йthique. Nous en savons plus sur la guerre que sur la paix, plus sur la mort que sur la faзon de vivre.';Omar Bradley;'Il nostro и un mondo di giganti nucleari ed etici infanti. Conosciamo meglio la guerra che la pace, sappiamo piщ sull'uccidere che sul vivere.';Omar Bradley;'Nuestro mundo es un mundo de gigantes nucleares e infantes йticos. Sabemos mas sobre la guerra de lo que sabemos sobre la paz, mas;sobre matar de lo que nosotros sabemos sobre vivir' Omar Bradley;'Unsere Welt ist eine der nuklearen Giganten und ethischen Neugeborenen. Wir wissen mehr ьber Krieg als Frieden, mehr ьbers tцten als ьbers leben.';Omar Bradley;'Naszym jest њwiat nuklearnych gigantуw i etycznych dzieci. Wiemy wiкcej o wojnie, niї o pokoju, wiemy wiкcej o zabijaniu niї o їyciu.';Omar Bradley;;;'Наш мир - мир ядерных сверхдержав и держав-младенцев. Мы знаем больше о войне,  чем о мире, больше о разрушении, чем о созидании.';Омар Брэдли
'Battles are won by slaughter and maneuver. The greater the general, the more he contributes in maneuver, the less he demands in slaughter.';Sir Winston Churchill;'Les batailles sont remportйes par des massacres et des manњuvres. Plus le gйnйral est bon, plus il manњuvre et moins il y a de massacres.';Sir Winston Churchill;'Le battaglie sono vinte dal massacro e dal manovrare. Piщ grande il generale, piщ contribuisce a manovrare, meno richiede in massacro.';Sir Winston Churchill;'A los ojos de los constructores de grandes inferiores, los hombres no son hombre sino instrumentos.';Sir Winston Churchill;Kдmpfe werden durchs abschlachten und manцvrieren gewonnen. Je besser der General, umso mehr stьtzt er sich auf manцvrieren und um so weniger aufs abschlachten.';Sir Winston Churchill;'Bitwy s№ wygrywane przez rzeџ lub manewry. Im znakomitszy generaі, tym wiкcej wykonuje manewrуw i tym mniej wymaga rzezi.';Sir Winston Churchill;;;'Битвы выигрываются резней и маневром. Чем опытней генерал, тем больше при нем маневра и меньше резни. ';Уинстон Черчилль
'We shall defend our island, whatever the cost may be. We shall fight on the beaches, we shall fight on the landing grounds.;We shall fight in the fields and in the streets. We shall fight in the hills. We shall never surrender!' Sir Winston Churchill;'Nous dйfendrons notre оle, quel qu'en soit le prix. Nous nous battrons sur les plages. Nous nous battrons sur les terrains de dйbarquement. Nous nous battrons dans les champs, et dans les rues, nous nous battrons dans les montagnes. Nous ne nous rendrons jamais !';Sir Winston Churchill;'Difenderemo la nostra Isola, a qualunque costo. Combatteremo sulle spiagge, combatteremo nei luoghi di sbarco, combatteremo sui campi e sulle strade, combatteremo sulle colline. Noi non ci arrenderemo mai!';Sir Winston Churchill;'Debemos defender nuestra isla, cueste lo que cueste. Lucharemos en las playas, lucharemos en los aeropuertos.;Nosotros lucharemos en los campos de batalla y en las calles. Nosotros debemos luchar en las montaсas. ЎNo nos debemos rendir nunca!' Sir Winston Churchill;Wir werden unsere Insel verteidigen, wie hoch auch immer der Preis sein mag. Wir werden an den Strдnden kдmpfen, wir werden an den Landungsabschnitten kдmpfen, wir werden auf den Feldern und auf den StraЯen kдmpfen, wir werden in den Hьgeln kдmpfen. Wir werden uns nie ergeben!';Sir Winston Churchill;'Bкdziemy broniж naszej wyspy, jakkolwiek wysoka miaіyby byж tego cena. Bкdziemy walczyж na plaїach, bкdziemy walczyж na lotniskach, bкdziemy walczyж na polach, bкdziemy walczyж na ulicach. Bкdziemy walczyж wњrуd wzgуrz. Nigdy siк nie poddamy!';Sir Winston Churchill;;;'Мы должны защитить наш остров любой ценой. Мы будем сражаться на пляжах и посадочных площадках, мы будем биться на полях и на улицах городов, лесах и холмах. Мы не сдадимся!';Уинстон Черчилль
'I don't know whether war is an interlude during peace, or peace is an interlude during war.';Georges Clemenceau;'J'ignore si la guerre est une parenthиse entre deux pйriodes de paix ou la paix une parenthиse entre deux pйriodes de guerre.';Georges Clйmenceau;'Non so se la guerra sia un interludio tra le paci o la pace un interludio tra le guerre.';Georges Clemenceau;'No se si la guerra es un interludio durante la paz, o la paz es un interludio durante la guerra.';Georges Clemenceau;'Ich wess nicht ob Krieg eine Unterbrechung des Friedens ist, oder Frieden eine Unterbrechung des Krieges.';Georges Clemenceau;'Nie wiem czy wojna jest przerw№ w czasie pokoju, czy pokуj jest przerw№ w czasie wojny.';Georges Clemenceau;;;'Я не знаю, является ли война перерывом между миром, или мир - перерывом между войнами.';Жорж Клемансо
'Politicians are the same all over. They promise to build a bridge even where there is no river.';Nikita Khrushchev;'Les hommes politiques sont tous les mкmes. Ils promettent de construire un pont lа oщ il n'y a pas de fleuve.';Nikita Khrushchev;'I politici sono gli stessi dappertutto. Loro promettono di costruire ponti anche dove non ci sono fiumi.';Nikita Khrushchev;'Todos los polнticos son iguales, te prometen construir un puente incluso donde no hay rio.';Nikita Khrushchev;'Politiker sind ьber all gleich. Sie versprechen eine Brьcke zu bauen, selbst dort wo es keinen Fluss gibt.';Nikita Chruschtschow;'Politycy s№ wszкdzie tacy sami. Obiecuj№ budowк mostu nawet tam, gdzie ma rzeki.';Nikita Chruszczow;;;'Политики везде одинаковы. Они всегда обещают построить мост, даже если нет реки.';Никита Хрущев
'There is happiness for those who accept their fate. There is glory for those who defy their fate.';Edel, Princess Tutu;'Le bonheur attend ceux qui acceptent leur destin. La gloire attend ceux qui le combattent.';Edel, Princesse Tutu;'C'и felicitа per coloro che accettano il proprio fato. C'и gloria per coloro che si oppongono al proprio fato.';Edel, Principessa Tutu;'La felicidad es para aquellos que aceptan su destino, la gloria es para aquellos que lo desafнan.';Edel, Princess Tutu;Es ist Frieden darin zu finden, sein Schicksal zu akzeptieren, und Ruhm, ihm zu trotzen.';Edel, Princess Tutu;'Szczкњcie jest dla tych, ktуrzy zaakceptuj№ swуj los. Chwaіa czeka na tych, ktуrzy swemu losowi siк sprzeciwi№.';Edel, Princess Tutu;;;'Существует счастье для тех, кто принимает свою судьбу. Существует слава для тех, кто бросает вызов своей судьбе.';Эдель, принцесса Туту
'It is part of the general pattern of misguided policy that our country is now geared to an arms economy which was bred in an;artificially induced psychosis of war hysteria and nurtured upon an incessant propaganda of fear.' General Douglas MacArthur, 15 May 1951;'Tandis que l'Etat existe, pas de libertй. Quand rйgnera la libertй, il n'y aura plus d'Etat.';Vladimir Lйnine;E' parte del generale schema di fuorviata politica il fatto che il nostro paese sia improntato ad un economia di guerra che и stata alimentata;da una psicosi di isteria da guerra alimentata artificialmente e coltivata da un incessante propaganda di paura.' Douglas MacArthur;'El patrуn principal de una polнtica errуnea, es que el motor econуmico de nuestro paнses sea las armas,;alimentada por una psicosis artificial inducida, una histeria por la guerra y una propaganda creciente e incesante del miedo.' General Douglas MacArthur, 15 de Mayo de 1951;Es ist ein generelles Zeichen von fehlgeleiteter Politik, dass unser Land nun auf eine Waffenproduktionsцkonomie ausgerichtet ist, die aus einer kьnstlich herbeigefьhrten Psychose der Kriegslust enstanden ist, und von unbegrьndeter Panikmache weiter geschьrt wurde.';General Douglas MacArthur, 15 Mai 1951;'Jest czкњci№ ogуlnego schematu nietrafionej polityki, iї nasz kraj jest przestawiany na tory ekonomii czasu wojny, ktуra jest podyktowana sztucznie podsycan№ psychoz№ wojny i їeruje na nieustannej propagandzie strachu.';Generaі Douglas MacArthur, 15 maja 1951;;;'Это - часть образца нашей дезинформированной  политики, по которой наша страна сейчас переходит на военные рельсы, которая была порождена массовый военным психозом и держалась на непрерывной пропаганде страха. ';Генерал Дуглас Маккартур, 15-го мая 1951 г.
'What we've got today is a generation of people that have been raised believing in Evolution which says rights come from the government.';Kent Hovind;'Nous avons aujourd'hui une gйnйration qui a йtй йlevйe en croyant а l'йvolutionnisme mais qui pense que ses droits viennent du Gouvernement.';Kent Hovind;'Quello che abbiamo oggi и una generazione di persone che sono state allevate con la credenza nell'Evoluzione che dice che i diritti provengono dal governo.';Kent Hovind;'Lo que nosotros tenemos estos dнas es una generaciуn de gente que ha crecido creyendo que la Evoluciуn, la cual dice que lo correcto proviene del gobierno.';Kent Hovind;'Was wir heute haben ist eine Generation von Menschen, die im Glauben aufgezogen wurden, dass ihre Rechte von der Regierung kommen.';Kent Hovind;'To co mamy dzisiaj jest pokoleniem ludzi, ktуrzy zostali wychowani w wierze w Ewolucjк, ktуrzy mуwi№ їe dobrze rzeczy pіyn№ ze strony rz№du.';Kent Hovind;;;'Мы получили поколение людей, которое верит в справедливое правительство';Кент Ховинд
'To walk through the ruined cities of Germany is to feel an actual doubt about the continuity of civilization.';George Orwell;'Marcher а travers les citйs allemandes en ruines interroge quant а la survie de la civilisation.';George Orwell;'Camminare attraverso le devastate cittа della Germania fa provare un autentico dubbio sulla continuitа della civilizzazione.';George Orwell;'Caminar por las ciudades en ruinas de Alemania me hace dudar de la continuidad de la civilizaciуn.';George Orwell;'Durch die Ruinen deutscher Stдdte zu wandern heisst, Zweifel am Fortbestand der Zivilisation zu fьhlen.';George Orwell;'Spacer po zrujnowanych miastach Niemiec kaїe w№tpiж w trwaіoњж cywilizacji.';George Orwell;;;'Достаточно пройтись по разрушеным городам Германии, чтобы усомниться в непрерывности развития цивилизации.';Джордж Оруэлл
'If you want a vision of the future, imagine a boot stamping on a human face - forever.';George Orwell;'La rйvolution ne se fait pas en gants blancs.';Vladimir Lйnine;'Se vuoi una visione del futuro, immagina uno stivale che colpisce un volto umano - per sempre.';George Orwell;'Si quieres una visiуn del futuro, imagina la cara de un ser humano aplastada por una bota - para siempre.';George Orwell;'Wenn du eine Vision der Zukunft willst, stell dir einen Sitefel vor, der auf ein menschliches Gesicht stampft - fьr alle Ewigkeit.';George Orwell;'Jeњli chcesz otrzymaж wizjк przyszіoњci, wyobraџ sobie but depcz№cy ludzk№ twarz - na zawsze.';George Orwell;;;'Если хотите представить будущее, представьте отпечаток ботинка, оставшийся на человеческом лице навсегда.';Джордж Оруэлл
'War is peace. Freedom is slavery. Ignorance is strength.';George Orwell;'La guerre c'est la paix. La libertй c'est l'esclavage. L'ignorance c'est la force.';George Orwell;'La guerra и pace. La libertа и schiavitщ. L'ignoranza и forza.';George Orwell;'La guerra es paz. La libertad es la esclavitud. La ignorancia es la fuerza.';George Orwell;'Krieg ist Frieden. Freiheit ist Sklaverei. Unwissenheit ist Stдrke.';George Orwell;'Wojna to pokуj. Wolnoњж to niewola. Ignoracja jest siі№.';George Orwell;;;'Война - это мир. Свобода - это рабство. Невежество - это сила.';Джордж Оруэлл
'War is war. The only good human being is a dead one.';George Orwell;'A la guerre comme а la guerre. Un bon humain est un humain mort.';George Orwell;'La guerra и guerra. L'unico essere umano buono и un essere umano morto.';George Orwell;'La guerra es la guerra. El ъnico ser humano bueno es aquel que esta muerto.';George Orwell;'Krieg ist Krieg. Der einzig gute Mensch ist ein toter.';George Orwell;'Wojna to wojna. Dobrzy ludzie to ci, ktуrzy s№ martwi.';George Orwell;;;'На войне - как на войне. Хорошие люди на ней гибнут.';Джордж Оруэлл
'We are not enemies, but friends. We must not be enemies. Though passion may have strained, it must not break our bonds of affection.;The mystic cords of memory will swell when again touched as surely they will be by the better angels of our nature.' Abraham Lincoln;'Je souhaite la victoire de l'Allemagne, car sans elle le bolchйvisme s'installerait partout.';Pierre Laval;'Noi non siamo nemici, ma amici. Non dobbiamo essere nemici. Sebbene la passione possa averli tesi, non deve rompere i legami di affetto.';Abraham Lincoln;'Nosotros no somos enemigos, sino amigos. Nosotros no debemos ser enemigos. Aunque nos hayamos dejado llevar por la pasiуn, no debemos romper nuestros lazos de afecto.';Abraham Lincoln;Wir sind keine Feinde, sondern Freunde. Wir dьrfen keine Feinde sein. Leidenschaft mag die Bande unserer Zuneigung anspannen, aber zerreiЯen darf sie sie nicht. Die mystischen Klдnge der Erinnerung werden ertцnen, wenn, und das ist sicher, die besseren Engel unserer Natur sie wieder berьhren.';Abraham Lincoln;'Nie jesteњmy wrogami, lecz przyjaciуіmi. Nie moїemy byж wrogami. Byж moїe emocje naruszyіy nasz uczuciowy zwi№zek, lecz nie mog№ go rozerwaж. Mistyczne wiкzy pamiкci zacisn№ siк raz jeszcze, kiedy tylko dotkn№ ich lepsze anioіy naszej ludzkiej natury.';Abraham Lincoln;;;'Мы - не враги, мы - друзья. Мы не должны стать врагами. Хотя страсти кипят, это не должно повлияить на наши отношения. Даже если бы мы были ангелами во плоти, у нас все равно будут разногласия.';Абрахам Линкольн
'A house divided against itself cannot stand.';Abraham Lincoln;'Une maison divisйe contre elle-mкme ne peut tenir debout.';Abraham Lincoln;'Una casa divisa contro sй stessa non puт rimanere in piedi.';Abraham Lincoln;'Una casa divida no se mantiene por su propio pie.';Abraham Lincoln;'Ein in sich gespaltenes Haus kann nicht bestehen.';Abraham Lincoln;'Dom na wskroњ podzielony nie moїe trwaж.';Abraham Lincoln;;;'Если дом разделен на части, этим частям не выстоять порознь.';Абрахам Линкольн
'If it moves, salute it. If it doesn't move, pick it up. And if you can't pick it up, paint it.';Anonymous (1940's saying);'Toute sociйtй qui prйtend assurer aux hommes la libertй, doit commencer par leur garantir l'existence.';Lйon Blum;'Se si muove salutalo. Se non si muove, raccoglilo. E se non puoi raccoglierlo, dipingilo.';Anonimo (proverbio degli anni '40);'Si se mueve, salъdalo. Si no se mueve, recуgelo. Y si no puedes recogerlo, pнntalo.';Anуnimo (dicho de  los aсos 40);Wenn es sich bewegt, salutiere. Wenn es sich nciht bewegt, heb es auf. Wenn es sich nicht aufheben lдsst, male es an.';Anonym;'Jeњli to siк rusza, salutuj. Jeњli to siк nie rusza, podnieњ to. A jeњli nie moїesz tego podnieњж, pomaluj to.';Anonim (powiedzenie z lat 40.);;;'Если эта штука двигается - отдайте честь. Если нет - подберите. Если не можете подобрать - опишите.';Автор неизвестен (1940-й год)
'Hard pressed on my right. My center is yielding. Impossible to maneuver. Situation excellent. I am attacking.';Marshal Ferdinand Foch at the Battle of the Marne;'Je suis pressй sur mon flanc droit. Mon centre s'effondre. Impossible de manњuvrer. Situation excellente. J'attaque !';Marйchal Ferdinand Foch а la Bataille de la Marne;'L'ala destra и sotto forte pressione, il mio centro sta cedendo. Impossibile manovrare. Situazione eccellente. Attaccherт.';Maresciallo Ferdinand Foch alla Battaglia della Marna;'Fuerte presiуn sobre mi derecha . Mi centro esta cediendo. Imposible maniobrar. Situaciуn perfecta. Estoy atacando.';Marshal Ferdinand Foch en la Batalla de Marne;Starker Druck an der rechten Flanke. Mein Zentrum gibt nach. Unmцglich zu manцvrieren. Situation ausgezeichnet. Ich greife an.';Marschall Ferdinand Foch in der Schlacht an der Marne;'Prawa flanka opiera siк z trudem. Mуj њrodek ustкpuje pod naporem. Niemoїnoњci№ jest manewrowaж. Sytuacja jest doskonaіa. Atakujк.';Marszaіek Ferdynand Foch o Bitwie nad Marn№;;;'Сильное наступление на правом фланге. Мой центр уступает. Не могу маневрировать… Все в порядке, я атакую.';Маршал Фердинанд Фош (битва при Марне)
'To be defeated and not submit, is victory. To be victorious and rest on one's laurels, is defeat.';Jozef Pilsudski;'Etre dйfait et ne pas se soumettre, c'est vaincre. Etre victorieux et se reposer sur ses lauriers, c'est кtre dйfait.';Jozef Pilsudski;'Essere sconfitti e non arrendersi, questa и la vittoria. Essere vittoriosi e riposare sugli allori, questa и la sconfitta.';Jozef Pilsudski;'Ser vencido y no rendirse, eso es victoria. Ganar y luego dormirse en los laurales, eso es la derrota.';Jozef Pilsudski;'Geschlagen sein und es nicht einzugestehen ist ein Sieg. Siegreich zu sein und sich auf den Lorbeeren auszuruhen bedeutet die Niederlage.';Jozef Pilsudski;'Byж zwyciкїonym i nie ulec to zwyciкstwo, zwyciкїyж i spocz№ж na laurach - to klкska.';Jуzef Piіsudski;;;'Проиграть, но не покориться, это победа. Победить и почевать на лаврах, это поражение.';Юзеф Пилсудский
'Better to live a day as a lion than 100 years as a sheep.';Benito Mussolini;'Mieux vaut vivre un jour comme un lion que cent ans comme un mouton.';Benito Mussolini;'Meglio vivere un giorno da leone che 100 anni da pecora.';Benito Mussolini;'Es mejor vivir un dнa como un leуn que 100 aсos como una oveja.';Benito Mussolini;'Besser einen Tag als Lцwe leben, als hundert Jahre ein Schaf zu sein.';Benito Mussolini;'Lepiej jest їyж jeden dzieс jako lew, niї sto lat jako owca.';Benito Mussolini;;;'Лучше прожить один день львом, чем 100 лет - овцой.';Бенито Муссолини
